time_1,absorbance_1,time_2,absorbance_2,time_3,absorbance_3,time_4,absorbance_4,time_5,absorbance_5,time_6,absorbance_6,time_7,absorbance_7,time_8,absorbance_8,time_9,absorbance_9
,,,,,,,,,,,,,,,,206,0.729
,,,,,,,,,,,,,,,,208,0.737
,,,,,,,,,,,,,,,,210,0.741
,,,,,,,,,,,,,,,,212,0.746
,,,,,,,,,,,,,,,,214,0.753
,,,,,,,,,,,,,,,,216,0.757
,,,,,,,,,,,,,,,,218,0.762
,,,,,,,,,,,,,,,,220,0.773
,,,,,,,,,,,,,,,,222,0.776
,,,,,,,,,,,,,,,,224,0.787
,,,,,,,,,,,,,,,,226,0.791
,,,,,,,,,,,,,,,,228,0.798
,,,,,,,,,,,,,,,,230,0.802
,,,,,,,,,,,,,,,,232,0.805
,,,,,,,,,,,,,,,,234,0.809
,,,,,,,,,,,,,,,,236,0.819
,,,,,,,,,,,,,,,,238,0.819
,,,,,,,,,,,,,,,,240,0.826
,,,,,,,,,,,,,,,,242,0.831
,,,,,,,,,,,,,,,,244,0.834
,,,,,,,,,,,,,,,,246,0.843
,,,,,,,,,,,,,,,,248,0.847
,,,,,,,,,,,,,,,,250,0.852
,,,,,,,,,,,,,,,,252,0.859
,,,,,,,,,,,,,,,,254,0.863
,,,,,,,,,,,,,,,,256,0.868
,,,,,,,,,,,,,,,,258,0.878
,,,,,,,,,,,,,,,,260,0.881
,,,,,,,,,,,,,,,,262,0.888
,,,,,,,,,,,,,,,,264,0.893
,,,,,,,,,,,,,,,,266,0.895
,,,,,,,,,,,,,,,,268,0.903
,,,,,,,,,,,,,,,,270,0.907
,,,,,,,,,,,,,,,,272,0.908
,,,,,,,,,,,,,,,,274,0.914
,,,,,,,,,,,,,,,,276,0.918
,,,,,,,,,,,,,,,,278,0.924
