Data Set 1:Time(s),Data Set 1:Absorbance,Data Set 2:Time(s),Data Set 2:Absorbance,Data Set 3:Time(s),Data Set 3:Absorbance
0.000000,0.031,0.000000,0.035,0.000000,0.372
2.000000,0.031,2.000000,0.034,2.000000,0.396
4.000000,0.031,4.000000,0.035,4.000000,0.451
6.000000,0.031,6.000000,0.034,6.000000,0.478
8.000000,0.009,8.000000,0.033,8.000000,0.508
10.000000,0.009,10.000000,0.037,10.000000,0.566
12.000000,0.131,12.000000,0.016,12.000000,0.598
14.000000,0.206,14.000000,0.062,14.000000,0.626
16.000000,0.230,16.000000,0.143,16.000000,0.684
18.000000,0.270,18.000000,0.166,18.000000,0.716
20.000000,0.291,20.000000,0.185,20.000000,0.776
22.000000,0.314,22.000000,0.212,22.000000,0.807
24.000000,0.357,24.000000,0.249,24.000000,0.837
26.000000,0.384,26.000000,0.273,26.000000,0.902
28.000000,0.413,28.000000,0.304,28.000000,0.932
30.000000,0.456,30.000000,0.325,30.000000,0.963
32.000000,0.479,32.000000,0.344,32.000000,1.022
34.000000,0.529,34.000000,0.406,34.000000,1.051
36.000000,0.557,36.000000,0.431,36.000000,1.110
38.000000,0.582,38.000000,0.486,38.000000,1.140
40.000000,0.632,40.000000,0.507,40.000000,1.171
42.000000,0.656,42.000000,0.525,42.000000,1.233
44.000000,0.682,44.000000,0.572,44.000000,1.262
46.000000,0.737,46.000000,0.579,46.000000,1.291
48.000000,0.764,48.000000,0.602,48.000000,1.348
50.000000,0.789,50.000000,0.670,50.000000,1.377
52.000000,0.844,52.000000,0.704,52.000000,1.427
54.000000,0.880,54.000000,0.736,54.000000,1.469
56.000000,0.929,56.000000,0.781,56.000000,1.482
58.000000,0.954,58.000000,0.803,58.000000,1.529
60.000000,0.982,60.000000,0.857,60.000000,1.552
62.000000,1.036,62.000000,0.885,62.000000,1.580
64.000000,1.060,64.000000,0.916,64.000000,1.623
66.000000,1.085,66.000000,0.991,66.000000,1.649
68.000000,1.137,68.000000,1.023,68.000000,1.672
70.000000,1.162,70.000000,1.040,70.000000,1.709
72.000000,1.214,72.000000,1.083,72.000000,1.731
74.000000,1.239,74.000000,1.111,74.000000,1.764
76.000000,1.264,76.000000,1.166,76.000000,1.776
78.000000,1.314,78.000000,1.196,78.000000,1.793
80.000000,1.336,80.000000,1.228,80.000000,1.821
82.000000,1.361,82.000000,1.271,82.000000,1.830
84.000000,1.402,84.000000,1.296,84.000000,1.848
86.000000,1.420,86.000000,1.322,86.000000,1.870
88.000000,1.442,88.000000,1.366,88.000000,1.879
90.000000,1.480,90.000000,1.390,90.000000,1.899
92.000000,1.500,92.000000,1.444,92.000000,1.905
94.000000,1.538,94.000000,1.473,94.000000,1.907
96.000000,1.557,96.000000,1.503,96.000000,1.923
98.000000,1.579,98.000000,1.561,98.000000,1.935
100.000000,1.617,100.000000,1.586,100.000000,1.936
102.000000,1.626,102.000000,1.601,102.000000,1.958
104.000000,1.642,104.000000,1.636,104.000000,1.956
106.000000,1.674,106.000000,1.656,106.000000,1.958
108.000000,1.689,108.000000,1.674,108.000000,1.969
110.000000,1.705,110.000000,1.710,110.000000,1.969
112.000000,1.724,112.000000,1.732,112.000000,1.973
114.000000,1.732,114.000000,1.765,114.000000,1.979
116.000000,1.754,116.000000,1.783,116.000000,1.987
118.000000,1.766,118.000000,1.793,118.000000,1.989
120.000000,1.773,120.000000,1.811,120.000000,1.988
122.000000,1.794,122.000000,1.824,122.000000,1.992
124.000000,1.802,124.000000,1.830,124.000000,1.999
126.000000,1.821,126.000000,1.856,126.000000,1.992
128.000000,1.824,128.000000,1.864,128.000000,2.001
130.000000,1.824,130.000000,1.877,130.000000,2.000
132.000000,1.840,132.000000,1.887,132.000000,2.003
134.000000,1.836,134.000000,1.904,134.000000,2.004
136.000000,1.846,136.000000,1.924,136.000000,2.008
138.000000,1.850,138.000000,1.930,138.000000,2.015
140.000000,1.853,140.000000,1.933,140.000000,2.015
142.000000,1.856,142.000000,1.943,142.000000,2.016
144.000000,1.859,144.000000,1.954,144.000000,2.013
146.000000,1.867,146.000000,1.959,146.000000,2.016
148.000000,1.876,148.000000,1.962,148.000000,2.021
150.000000,1.878,150.000000,1.978,150.000000,2.017
152.000000,1.876,152.000000,1.984,152.000000,2.019
154.000000,1.880,154.000000,1.981,154.000000,2.011
156.000000,1.880,156.000000,1.983,156.000000,2.025
158.000000,1.886,158.000000,1.990,158.000000,2.027
160.000000,1.886,160.000000,1.996,160.000000,2.016
162.000000,1.884,162.000000,1.992,162.000000,2.020
164.000000,1.892,164.000000,2.002,164.000000,2.021
166.000000,1.895,166.000000,2.000,166.000000,2.029
168.000000,1.892,168.000000,2.009,168.000000,2.022
170.000000,1.895,170.000000,2.002,170.000000,2.021
172.000000,1.888,172.000000,2.004,172.000000,2.021
174.000000,1.904,174.000000,2.010,174.000000,2.021
176.000000,1.897,176.000000,2.020,176.000000,2.023
178.000000,1.907,178.000000,2.007,178.000000,2.023
180.000000,1.902,180.000000,2.014,180.000000,2.027
182.000000,1.899,182.000000,2.017,182.000000,2.025
184.000000,1.898,184.000000,2.017,184.000000,2.027
186.000000,1.902,186.000000,2.021,186.000000,2.035
188.000000,1.906,188.000000,2.026,188.000000,2.022
190.000000,1.901,190.000000,2.014,190.000000,2.034
192.000000,1.910,192.000000,2.022,192.000000,2.023
194.000000,1.914,194.000000,2.026,194.000000,2.023
196.000000,1.908,196.000000,2.026,196.000000,2.026
198.000000,1.907,198.000000,2.024,198.000000,2.025
200.000000,1.913,200.000000,2.031,200.000000,2.025
202.000000,1.910,202.000000,2.032,202.000000,2.022
204.000000,1.909,204.000000,2.028,204.000000,2.019
206.000000,1.911,206.000000,2.027,206.000000,2.025
208.000000,1.913,208.000000,2.031,,
210.000000,1.908,210.000000,2.026,,
212.000000,1.910,212.000000,2.028,,
214.000000,1.915,214.000000,2.045,,
216.000000,1.916,216.000000,2.032,,
218.000000,1.912,218.000000,2.031,,
220.000000,1.910,220.000000,2.035,,
222.000000,1.909,222.000000,2.038,,
224.000000,1.907,224.000000,2.036,,
226.000000,1.910,226.000000,2.041,,
228.000000,1.910,228.000000,2.037,,
230.000000,1.913,230.000000,2.044,,
232.000000,1.910,232.000000,2.039,,
234.000000,1.910,234.000000,2.035,,
236.000000,1.914,236.000000,2.035,,
238.000000,1.909,238.000000,2.031,,
240.000000,1.923,240.000000,2.040,,
242.000000,1.917,242.000000,2.035,,
244.000000,1.921,244.000000,2.027,,
246.000000,1.914,246.000000,2.036,,
248.000000,1.913,248.000000,2.037,,
250.000000,1.919,250.000000,2.037,,
252.000000,1.923,252.000000,2.035,,
254.000000,1.914,254.000000,2.032,,
256.000000,1.918,256.000000,2.039,,
258.000000,1.918,258.000000,2.032,,
260.000000,1.912,260.000000,2.048,,
262.000000,1.913,262.000000,2.038,,
264.000000,1.910,264.000000,2.037,,
