Data Set 1:Time(s),Data Set 1:Absorbance
0.000000,0.031
2.000000,0.031
4.000000,0.031
6.000000,0.031
8.000000,0.009
10.000000,0.009
12.000000,0.131
14.000000,0.206
16.000000,0.230
18.000000,0.270
20.000000,0.291
22.000000,0.314
24.000000,0.357
26.000000,0.384
28.000000,0.413
30.000000,0.456
32.000000,0.479
34.000000,0.529
36.000000,0.557
38.000000,0.582
40.000000,0.632
42.000000,0.656
44.000000,0.682
46.000000,0.737
48.000000,0.764
50.000000,0.789
52.000000,0.844
54.000000,0.880
56.000000,0.929
58.000000,0.954
60.000000,0.982
62.000000,1.036
64.000000,1.060
66.000000,1.085
68.000000,1.137
70.000000,1.162
72.000000,1.214
74.000000,1.239
76.000000,1.264
78.000000,1.314
80.000000,1.336
82.000000,1.361
84.000000,1.402
86.000000,1.420
88.000000,1.442
90.000000,1.480
92.000000,1.500
94.000000,1.538
96.000000,1.557
98.000000,1.579
100.000000,1.617
102.000000,1.626
104.000000,1.642
106.000000,1.674
108.000000,1.689
110.000000,1.705
112.000000,1.724
114.000000,1.732
116.000000,1.754
118.000000,1.766
120.000000,1.773
122.000000,1.794
124.000000,1.802
126.000000,1.821
128.000000,1.824
130.000000,1.824
132.000000,1.840
134.000000,1.836
136.000000,1.846
138.000000,1.850
140.000000,1.853
142.000000,1.856
144.000000,1.859
146.000000,1.867
148.000000,1.876
150.000000,1.878
152.000000,1.876
154.000000,1.880
156.000000,1.880
158.000000,1.886
160.000000,1.886
162.000000,1.884
164.000000,1.892
166.000000,1.895
168.000000,1.892
170.000000,1.895
172.000000,1.888
174.000000,1.904
176.000000,1.897
178.000000,1.907
180.000000,1.902
182.000000,1.899
184.000000,1.898
186.000000,1.902
188.000000,1.906
190.000000,1.901
192.000000,1.910
194.000000,1.914
196.000000,1.908
198.000000,1.907
200.000000,1.913
202.000000,1.910
204.000000,1.909
206.000000,1.911
208.000000,1.913
210.000000,1.908
212.000000,1.910
214.000000,1.915
216.000000,1.916
218.000000,1.912
220.000000,1.910
222.000000,1.909
224.000000,1.907
226.000000,1.910
228.000000,1.910
230.000000,1.913
232.000000,1.910
234.000000,1.910
236.000000,1.914
238.000000,1.909
240.000000,1.923
242.000000,1.917
244.000000,1.921
246.000000,1.914
248.000000,1.913
250.000000,1.919
252.000000,1.923
254.000000,1.914
256.000000,1.918
258.000000,1.918
260.000000,1.912
262.000000,1.913
264.000000,1.910
