Data Set 1:Time(s),Data Set 1:Absorbance,Data Set 2:Time(s),Data Set 2:Absorbance
130.000000,0.923,130.000000,0.703
132.000000,0.929,132.000000,0.737
134.000000,0.940,134.000000,0.777
136.000000,0.945,136.000000,0.764
138.000000,0.954,138.000000,0.751
140.000000,0.959,140.000000,0.766
142.000000,0.965,142.000000,0.772
144.000000,0.972,144.000000,0.787
146.000000,0.976,146.000000,0.793
148.000000,0.979,148.000000,0.798
150.000000,0.984,150.000000,0.814
152.000000,0.988,152.000000,0.819
154.000000,0.994,154.000000,0.827
156.000000,0.999,156.000000,0.832
158.000000,1.002,158.000000,0.839
160.000000,1.007,160.000000,0.845
162.000000,1.013,162.000000,0.857
164.000000,1.014,164.000000,0.862
166.000000,1.018,166.000000,0.872
168.000000,1.019,168.000000,0.877
170.000000,1.021,170.000000,0.881
172.000000,1.028,172.000000,0.891
174.000000,1.029,174.000000,0.895
176.000000,1.033,176.000000,0.901
178.000000,1.035,178.000000,0.910
180.000000,1.038,180.000000,0.915
182.000000,1.039,182.000000,0.923
184.000000,1.042,184.000000,0.929
186.000000,1.042,186.000000,0.932
188.000000,1.046,188.000000,0.939
190.000000,1.047,190.000000,0.945
192.000000,1.050,192.000000,0.949
194.000000,1.051,194.000000,0.956
196.000000,1.052,196.000000,0.961
198.000000,1.055,198.000000,0.969
200.000000,1.057,200.000000,0.973
202.000000,1.056,202.000000,0.976
204.000000,1.059,204.000000,0.984
206.000000,1.059,206.000000,0.988
208.000000,1.061,208.000000,0.992
210.000000,1.061,210.000000,0.998
212.000000,1.063,212.000000,1.000
214.000000,1.065,214.000000,1.001
216.000000,1.064,216.000000,1.008
218.000000,1.065,218.000000,1.010
220.000000,1.066,220.000000,1.016
222.000000,1.067,222.000000,1.017
224.000000,1.067,224.000000,1.018
226.000000,1.067,226.000000,1.026
228.000000,1.068,228.000000,1.027
230.000000,1.070,230.000000,1.028
232.000000,1.070,232.000000,1.034
234.000000,1.072,234.000000,1.033
236.000000,1.071,236.000000,1.037
238.000000,1.071,238.000000,1.039
240.000000,1.073,240.000000,1.041
242.000000,1.072,242.000000,1.043
244.000000,1.073,244.000000,1.045
246.000000,1.072,246.000000,1.046
248.000000,1.074,248.000000,1.049
250.000000,1.076,250.000000,1.050
252.000000,1.074,252.000000,1.053
254.000000,1.074,254.000000,1.054
256.000000,1.074,256.000000,1.054
258.000000,1.073,258.000000,1.057
260.000000,1.074,260.000000,1.058
262.000000,1.075,262.000000,1.061
264.000000,1.074,264.000000,1.064
266.000000,1.075,266.000000,1.065
268.000000,1.075,268.000000,1.068
270.000000,1.077,270.000000,1.068
272.000000,1.076,272.000000,1.070
274.000000,1.081,274.000000,1.073
276.000000,1.077,276.000000,1.072
278.000000,1.076,278.000000,1.074
280.000000,1.075,280.000000,1.075
282.000000,1.076,282.000000,1.078
284.000000,1.075,284.000000,1.078
286.000000,1.075,286.000000,1.079
288.000000,1.076,288.000000,1.079
290.000000,1.076,290.000000,1.081
,,292.000000,1.082
,,294.000000,1.083
,,296.000000,1.084
,,298.000000,1.084
,,300.000000,1.085
,,302.000000,1.087
,,304.000000,1.085
,,306.000000,1.087
,,308.000000,1.088
,,310.000000,1.089
,,312.000000,1.090
,,314.000000,1.089
,,316.000000,1.090
,,318.000000,1.090
,,320.000000,1.092
,,322.000000,1.092
,,324.000000,1.091
,,326.000000,1.091
,,328.000000,1.092
,,330.000000,1.095
,,332.000000,1.092
,,334.000000,1.095
,,336.000000,1.094
,,338.000000,1.094
,,340.000000,1.095
,,342.000000,1.095
,,344.000000,1.096
,,346.000000,1.097
,,348.000000,1.097
,,350.000000,1.097
,,352.000000,1.097
,,354.000000,1.097
,,356.000000,1.098
,,358.000000,1.099
,,360.000000,1.098
,,362.000000,1.098
,,364.000000,1.100
,,366.000000,1.098
,,368.000000,1.098
,,370.000000,1.100
,,372.000000,1.102
,,374.000000,1.099
,,376.000000,1.099
,,378.000000,1.099
,,380.000000,1.099
,,382.000000,1.101
,,384.000000,1.101
,,386.000000,1.100
,,388.000000,1.099
,,390.000000,1.101
