Data Set 1:Time(s),Data Set 1:Absorbance,Data Set 2:Time(s),Data Set 2:Absorbance
0.000000,0.035,0.000000,0.010
2.000000,0.035,2.000000,0.021
4.000000,0.035,4.000000,0.039
6.000000,0.035,6.000000,0.045
8.000000,0.035,8.000000,0.047
10.000000,0.036,10.000000,0.034
12.000000,0.036,12.000000,0.026
14.000000,0.041,14.000000,0.023
16.000000,0.021,16.000000,0.031
18.000000,0.026,18.000000,0.033
20.000000,0.021,20.000000,0.035
22.000000,0.021,22.000000,0.052
24.000000,0.021,24.000000,0.060
26.000000,0.116,26.000000,0.040
28.000000,0.125,28.000000,0.021
30.000000,0.139,30.000000,0.021
32.000000,0.167,32.000000,0.021
34.000000,0.181,34.000000,0.021
36.000000,0.208,36.000000,0.055
38.000000,0.226,38.000000,0.108
40.000000,0.238,40.000000,0.128
42.000000,0.267,42.000000,0.135
44.000000,0.281,44.000000,0.145
46.000000,0.297,46.000000,0.153
48.000000,0.324,48.000000,0.174
50.000000,0.339,50.000000,0.181
52.000000,0.367,52.000000,0.191
54.000000,0.381,54.000000,0.210
56.000000,0.397,56.000000,0.241
58.000000,0.427,58.000000,0.239
60.000000,0.439,60.000000,0.248
62.000000,0.453,62.000000,0.261
64.000000,0.479,64.000000,0.279
66.000000,0.492,66.000000,0.288
68.000000,0.520,68.000000,0.298
70.000000,0.530,70.000000,0.320
72.000000,0.542,72.000000,0.334
74.000000,0.568,74.000000,0.358
76.000000,0.582,76.000000,0.369
78.000000,0.595,78.000000,0.381
80.000000,0.625,80.000000,0.401
82.000000,0.632,82.000000,0.409
84.000000,0.656,84.000000,0.419
86.000000,0.666,86.000000,0.435
88.000000,0.677,88.000000,0.445
90.000000,0.700,90.000000,0.463
92.000000,0.711,92.000000,0.472
94.000000,0.724,94.000000,0.481
96.000000,0.743,96.000000,0.498
98.000000,0.753,98.000000,0.508
100.000000,0.764,100.000000,0.516
102.000000,0.781,102.000000,0.534
104.000000,0.790,104.000000,0.543
106.000000,0.810,106.000000,0.553
108.000000,0.819,108.000000,0.571
110.000000,0.827,110.000000,0.578
112.000000,0.843,112.000000,0.596
114.000000,0.851,114.000000,0.607
116.000000,0.861,116.000000,0.615
118.000000,0.874,118.000000,0.631
120.000000,0.879,120.000000,0.640
122.000000,0.894,122.000000,0.648
124.000000,0.900,124.000000,0.665
126.000000,0.907,126.000000,0.674
128.000000,0.918,128.000000,0.691
